valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,,,,,NR,,,,,NR
401.bzip2,,,,,NR,,,,,NR
403.gcc,,,,,NR,,,,,NR
429.mcf,,,,,NR,,,,,NR
445.gobmk,,,,,NR,,,,,NR
456.hmmer,,,,,NR,,,,,NR
458.sjeng,,,,,NR,,,,,NR
462.libquantum,,,,,NR,,,,,NR
464.h264ref,,,,,NR,,,,,NR
471.omnetpp,,,,,NR,,,,,NR
473.astar,,,,,NR,,,,,NR
483.xalancbmk,6900,1911.443221,3.609838,1,S,,,,,,"ref iteration #1"

"Selected Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,,,,,NR,,,,,NR
401.bzip2,,,,,NR,,,,,NR
403.gcc,,,,,NR,,,,,NR
429.mcf,,,,,NR,,,,,NR
445.gobmk,,,,,NR,,,,,NR
456.hmmer,,,,,NR,,,,,NR
458.sjeng,,,,,NR,,,,,NR
462.libquantum,,,,,NR,,,,,NR
464.h264ref,,,,,NR,,,,,NR
471.omnetpp,,,,,NR,,,,,NR
473.astar,,,,,NR,,,,,NR
483.xalancbmk,6900,1911.443221,3.609838,1,S,,,,,NR,"SelectedIteration (base #1)"

SPECint_base2006,--,,--
SPECint2006,"Not Run",,,,,,,"Not Run"

"Run number:",075

"Hardware Vendor:",--
"Hardware Model:",Hikey
"Date tested:",Jan-2017
"CPU2006 License:",4114
"Test sponsor:",Linaro
"Tested by:",Linaro
"Hardware avail:",--
"Software avail:",--


HARDWARE

"CPU Name",--
"CPU Characteristics"," "
"CPU MHz",--
FPU,fp_asimd
"CPU(s) enabled","-1 cores, -1 chips, -1 cores/chip, -1 threads/core"
"CPU(s) orderable",--
"Primary Cache",--
"Secondary Cache",--
"L3 Cache",--
"Other Cache",--
Memory,--
"Disk Subsystem",--
"Other Hardware",--

SOFTWARE

"Operating System",4.10.0-rc2-00109-ge02003b
