valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,2243.463637,4.354873,1,S,,,,,,"ref iteration #1"
401.bzip2,9650,3695.164425,2.611521,1,S,,,,,,"ref iteration #1"
403.gcc,8050,2089.117224,3.853302,1,S,,,,,,"ref iteration #1"
429.mcf,9120,3459.512695,2.636209,1,S,,,,,,"ref iteration #1"
445.gobmk,10490,2232.392603,4.698994,1,S,,,,,,"ref iteration #1"
456.hmmer,9330,3109.845286,3.000149,1,S,,,,,,"ref iteration #1"
458.sjeng,12100,2918.49927,4.145966,1,S,,,,,,"ref iteration #1"
462.libquantum,20720,2568.00505,8.06852,1,S,,,,,,"ref iteration #1"
464.h264ref,22130,3098.475154,7.142223,1,S,,,,,,"ref iteration #1"
471.omnetpp,,,,,NR,,,,,NR
473.astar,7020,2354.617265,2.981376,1,S,,,,,,"ref iteration #1"
483.xalancbmk,6900,1634.439032,4.221632,1,S,,,,,,"ref iteration #1"

"Selected Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,2243.463637,4.354873,1,S,,,,,NR,"SelectedIteration (base #1)"
401.bzip2,9650,3695.164425,2.611521,1,S,,,,,NR,"SelectedIteration (base #1)"
403.gcc,8050,2089.117224,3.853302,1,S,,,,,NR,"SelectedIteration (base #1)"
429.mcf,9120,3459.512695,2.636209,1,S,,,,,NR,"SelectedIteration (base #1)"
445.gobmk,10490,2232.392603,4.698994,1,S,,,,,NR,"SelectedIteration (base #1)"
456.hmmer,9330,3109.845286,3.000149,1,S,,,,,NR,"SelectedIteration (base #1)"
458.sjeng,12100,2918.49927,4.145966,1,S,,,,,NR,"SelectedIteration (base #1)"
462.libquantum,20720,2568.00505,8.06852,1,S,,,,,NR,"SelectedIteration (base #1)"
464.h264ref,22130,3098.475154,7.142223,1,S,,,,,NR,"SelectedIteration (base #1)"
471.omnetpp,,,,,NR,,,,,NR
473.astar,7020,2354.617265,2.981376,1,S,,,,,NR,"SelectedIteration (base #1)"
483.xalancbmk,6900,1634.439032,4.221632,1,S,,,,,NR,"SelectedIteration (base #1)"

SPECint_base2006,--,,--
SPECint2006,"Not Run",,,,,,,"Not Run"

"Run number:",014

"Hardware Vendor:",--
"Hardware Model:",Hikey
"Date tested:",Dec-2016
"CPU2006 License:",4114
"Test sponsor:",Linaro
"Tested by:",Linaro
"Hardware avail:",--
"Software avail:",--


HARDWARE

"CPU Name",--
"CPU Characteristics"," "
"CPU MHz",--
FPU,fp_asimd
"CPU(s) enabled","-1 cores, -1 chips, -1 cores/chip, -1 threads/core"
"CPU(s) orderable",--
"Primary Cache",--
"Secondary Cache",--
"L3 Cache",--
